NET,Tier 1,Tier 2,Tier 3
Plus/Minus,goals,shots,time on ice
,goals - power play,shots - blocked,time on ice - even
,goals - short-handed,faceoff wins,time on ice - power play
,assists,faceoffs taken,time on ice - short-handed
,assists - power play,shots against,penalty in minutes
,assists - short-handed,shots against - power play,takeaways
,saves,shots against - short-handed,giveaways
,saves - power play,shots against - even,
,saves - short-handed,,
,saves - even,,
