tricode_home,tricode_away,geometry_home,geometry_away,geo_distance_haversine,geo_distance_ellipsoidal
BUF,NJD,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-74.171085,40.733559]}",456890.64884287916,457620.51140915364
BUF,NSH,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-86.782639,36.1584095]}",1007887.8320142456,1008172.8763750355
BUF,NYI,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-73.7258661,40.7117152]}",489993.2824042652,490831.6366295742
BUF,NYR,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-73.9935459,40.7505474]}",468503.8815137159,469283.0828449698
BUF,OTT,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-75.9269821,45.2968824]}",357740.6705527493,358019.31688809645
BUF,PHI,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-75.172001,39.901177]}",452548.96080025745,452805.39082261844
BUF,PIT,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-79.988795,40.439642]}",286144.09853938007,285926.2085651441
BUF,SEA,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-122.3537822,47.6221615]}",3398624.5336267864,3407906.275045912
BUF,SJS,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-121.9012924,37.3327377]}",3670082.9275530074,3678890.576417196
BUF,STL,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-90.2026731,38.6268312]}",1063373.4386807035,1065276.1357155014
BUF,TOR,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-79.37896,43.64344]}",94603.11567590132,94582.98906164878
BUF,TBL,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-82.4518213,27.9427281]}",1691290.8515699164,1687840.805968033
BUF,UTA,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-111.9008887,40.7682775]}",2728964.8532154337,2736020.070597154
BUF,VAN,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-123.1089713,49.2779028]}",3433854.9836563217,3443192.201505457
BUF,VGK,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-115.1731265,36.1037812]}",3178117.1784118675,3185270.406532578
BUF,WPG,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-97.1438596,49.8925472]}",1597757.0912029587,1601134.5753913673
BUF,WSH,"{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}","{""type"":""Point"",""coordinates"":[-77.0209613,38.8980959]}",468916.43047604564,468512.4590491228
CAR,ANA,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}",3558013.232807441,3565823.5465786573
CAR,BOS,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-71.06312,42.31395]}",979657.7419348268,979893.0054981328
CAR,BUF,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}",786477.6529265658,785257.2475890616
CAR,CBJ,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-83.0061557,39.9692284]}",596444.8599901038,596362.0938218277
CAR,CGY,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-114.05141,51.03805]}",3272693.599897458,3278400.8866847963
CAR,CHI,"{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}","{""type"":""Point"",""coordinates"":[-87.6355199,41.882695]}",1025087.1866136808,1025771.8216442566
