id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,awayTeam.commonName.fr,winningGoalie.lastName.sv,condensedGameFr,homeTeam.commonName.fr,alternateBroadcasts,specialEvent.parentId,specialEvent.name.default,specialEvent.lightLogoUrl.default,venue.cs,venue.fi,venue.sk,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,specialEvent.lightLogoUrl.fr,specialEvent.name.fr,ticketsLinkFr,tricode_winteam
2024020016,20242025,2,2024-10-10,False,2024-10-10T23:30:00Z,-04:00,-04:00,America/New_York,OFF,OK,59,Utah Hockey Club,Utah,de l'Utah,UTA,5.0,2,Islanders,New York,de New York,NYI,4.0,OT,3,OT,8478971.0,8482699.0,/video/uta-at-nyi-condensed-game-6363103177112,Club de hockey de l'Utah,,,,,,,,,,,,,,,,,,,,,,,UTA
2024020017,20242025,2,2024-10-10,False,2024-10-11T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,25,Stars,Dallas,de Dallas,DAL,4.0,18,Predators,Nashville,de Nashville,NSH,3.0,REG,3,REG,8479979.0,8478975.0,,,,,,,,,,,,,,,,,,,,,,,,,DAL
2024020018,20242025,2,2024-10-10,False,2024-10-11T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,2.0,30,Wild,Minnesota,du Minnesota,MIN,3.0,REG,3,REG,8479406.0,8475692.0,,,,,,,,,,,,,,,,,,,,,,,,,MIN
2024020014,20242025,2,2024-10-10,False,2024-10-11T00:00:00Z,-04:00,-04:00,America/Detroit,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,6.0,17,Red Wings,Detroit,de Detroit,DET,3.0,REG,3,REG,8482446.0,8477969.0,,,,,,,,,,,,,,,,,,,,,,,,,PIT
2024020019,20242025,2,2024-10-10,False,2024-10-11T02:30:00Z,-04:00,-07:00,US/Pacific,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,5.0,28,Sharks,San Jose,de San Jose,SJS,4.0,OT,3,OT,8480981.0,8475170.0,,,,,,,,,,,,,,,,,,,,,,,,,STL
2024020020,20242025,2,2024-10-11,False,2024-10-11T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4.0,12,Hurricanes,Carolina,de la Caroline,CAR,1.0,REG,3,REG,8476883.0,8476453.0,/video/tbl-at-car-condensed-game-6363154065112,,,,,,,,,,,,,,,,,,,,,,,,TBL
2024020021,20242025,2,2024-10-11,False,2024-10-12T00:00:00Z,-04:00,-05:00,America/Winnipeg,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,1.0,52,Jets,Winnipeg,de Winnipeg,WPG,2.0,OT,3,OT,8476945.0,8476460.0,,,,,,,,,,,,,,,,,,,,,,,,,WPG
2024020022,20242025,2,2024-10-11,False,2024-10-12T02:00:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,3.0,23,Canucks,Vancouver,de Vancouver,VAN,2.0,SO,3,SO,8481035.0,,,,,,,,,,,,,,,,,,,,,,,,,,PHI
2024020023,20242025,2,2024-10-11,False,2024-10-12T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,3.0,54,Golden Knights,Vegas,de Vegas,VGK,4.0,REG,3,REG,8478499.0,8478462.0,,,,,,,,,,,,,,,,,,,,,,,,,VGK
2024020024,20242025,2,2024-10-12,False,2024-10-12T17:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,1.0,6,Bruins,Boston,de Boston,BOS,2.0,OT,3,OT,8480280.0,8477956.0,,,,,,,,,,,,,,,,,,,,,,,,,BOS
