gameId,gameType,startTimeUTC,homeTeam.id,homeTeam.name.default,homeTeam.abbrev,homeTeam.logo,awayTeam.id,awayTeam.name.default,awayTeam.abbrev,awayTeam.logo,odds_description,home_odds_value,away_odds_value,currentOddsDate,lastUpdatedUTC,bettingPartner,homeTeam.name.fr,awayTeam.name.fr
2024020010,2,2024-10-10T02:00:00Z,54,Golden Knights,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,21,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,MONEY_LINE_3_WAY,135.0,140.0,2024-10-09,2024-10-09T20:00:38Z,DraftKings,,
2024020010,2,2024-10-10T02:00:00Z,54,Golden Knights,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,21,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,MONEY_LINE_2_WAY,-110.0,-110.0,2024-10-09,2024-10-09T20:00:38Z,DraftKings,,
2024020011,2,2024-10-10T23:00:00Z,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,OVER_UNDER,165.0,220.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020011,2,2024-10-10T23:00:00Z,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,MONEY_LINE_3_WAY,-170.0,320.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020011,2,2024-10-10T23:00:00Z,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,MONEY_LINE_2_WAY,-305.0,245.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020012,2,2024-10-10T23:00:00Z,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,OVER_UNDER,550.0,130.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020012,2,2024-10-10T23:00:00Z,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,MONEY_LINE_3_WAY,125.0,150.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020012,2,2024-10-10T23:00:00Z,7,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,MONEY_LINE_2_WAY,-112.0,-108.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,,
2024020013,2,2024-10-10T23:00:00Z,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,OVER_UNDER,190.0,400.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,Sénateurs,
2024020013,2,2024-10-10T23:00:00Z,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,13,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,MONEY_LINE_3_WAY,170.0,110.0,2024-10-10,2024-10-10T20:00:38Z,DraftKings,Sénateurs,
