gameid,date,time_start,tricode_for,id_for,tricode_against,id_against,metric_score_for,metric_score_against,period_ending,tricode_winteam
2013020001,2013-10-01,2013-10-01T23:00:00Z,MTL,8,TOR,10,3,4,REG,TOR
2013020002,2013-10-01,2013-10-02T00:00:00Z,CHI,16,WSH,15,6,4,REG,CHI
2013020003,2013-10-01,2013-10-02T02:00:00Z,EDM,22,WPG,52,4,5,REG,WPG
2013020004,2013-10-02,2013-10-02T23:30:00Z,PHI,4,TOR,10,1,3,REG,TOR
2013020005,2013-10-02,2013-10-03T00:00:00Z,DET,17,BUF,7,2,1,REG,DET
2013020006,2013-10-02,2013-10-03T01:30:00Z,COL,21,ANA,24,6,1,REG,COL
2013020007,2013-10-03,2013-10-03T23:00:00Z,BOS,6,TBL,14,3,1,REG,BOS
2013020009,2013-10-03,2013-10-03T23:00:00Z,WSH,15,CGY,20,5,4,SO,WSH
2013020008,2013-10-03,2013-10-03T23:00:00Z,PIT,5,NJD,1,3,0,REG,PIT
2013020011,2013-10-03,2013-10-04T00:00:00Z,MIN,30,LAK,26,2,3,SO,LAK
2013020010,2013-10-03,2013-10-04T00:30:00Z,STL,19,NSH,18,4,2,REG,STL
2013020012,2013-10-03,2013-10-04T00:30:00Z,DAL,25,FLA,13,2,4,REG,FLA
2013020014,2013-10-03,2013-10-04T02:00:00Z,SJS,28,VAN,23,4,1,REG,SJS
2013020013,2013-10-03,2013-10-04T02:00:00Z,PHX,27,NYR,3,4,1,REG,PHX
2013020015,2013-10-04,2013-10-04T23:00:00Z,BUF,7,OTT,9,0,1,REG,OTT
2013020016,2013-10-04,2013-10-04T23:00:00Z,NJD,1,NYI,2,3,4,SO,NYI
2013020018,2013-10-04,2013-10-04T23:00:00Z,CBJ,29,CGY,20,3,4,REG,CGY
2013020017,2013-10-04,2013-10-04T23:00:00Z,CAR,12,DET,17,2,3,OT,DET
2013020019,2013-10-04,2013-10-05T00:00:00Z,WPG,52,LAK,26,5,3,REG,WPG
2013020020,2013-10-04,2013-10-05T01:00:00Z,COL,21,NSH,18,3,1,REG,COL
2013020024,2013-10-05,2013-10-05T23:00:00Z,NYI,2,CBJ,29,2,3,SO,CBJ
2013020023,2013-10-05,2013-10-05T23:00:00Z,MTL,8,PHI,4,4,1,REG,MTL
2013020021,2013-10-05,2013-10-05T23:00:00Z,BOS,6,DET,17,4,1,REG,BOS
2013020025,2013-10-05,2013-10-05T23:00:00Z,PIT,5,BUF,7,4,1,REG,PIT
2013020022,2013-10-05,2013-10-05T23:00:00Z,TOR,10,OTT,9,5,4,SO,TOR
2013020026,2013-10-05,2013-10-06T00:00:00Z,CHI,16,TBL,14,2,3,SO,TBL
2013020028,2013-10-05,2013-10-06T00:00:00Z,DAL,25,WSH,15,2,1,REG,DAL
2013020027,2013-10-05,2013-10-06T00:00:00Z,STL,19,FLA,13,7,0,REG,STL
2013020029,2013-10-05,2013-10-06T00:00:00Z,MIN,30,ANA,24,3,4,OT,ANA
2013020030,2013-10-05,2013-10-06T02:00:00Z,VAN,23,EDM,22,6,2,REG,VAN
2013020031,2013-10-05,2013-10-06T02:30:00Z,SJS,28,PHX,27,4,1,REG,SJS
2013020032,2013-10-06,2013-10-06T21:00:00Z,CAR,12,PHI,4,2,1,REG,CAR
2013020034,2013-10-06,2013-10-07T00:00:00Z,CGY,20,VAN,23,4,5,OT,VAN
2013020033,2013-10-06,2013-10-07T00:00:00Z,WPG,52,ANA,24,2,3,REG,ANA
2013020035,2013-10-07,2013-10-08T01:30:00Z,EDM,22,NJD,1,5,4,SO,EDM
2013020036,2013-10-07,2013-10-08T02:30:00Z,LAK,26,NYR,3,1,3,REG,NYR
2013020039,2013-10-08,2013-10-08T23:00:00Z,PHI,4,FLA,13,2,1,REG,PHI
2013020037,2013-10-08,2013-10-08T23:00:00Z,TOR,10,COL,21,1,2,REG,COL
2013020040,2013-10-08,2013-10-08T23:00:00Z,PIT,5,CAR,12,5,2,REG,PIT
2013020038,2013-10-08,2013-10-08T23:00:00Z,NYI,2,PHX,27,6,1,REG,NYI
2013020041,2013-10-08,2013-10-08T23:30:00Z,BUF,7,TBL,14,2,3,OT,TBL
2013020042,2013-10-08,2013-10-09T00:00:00Z,NSH,18,MIN,30,3,2,REG,NSH
2013020043,2013-10-08,2013-10-09T02:00:00Z,VAN,23,NJD,1,3,2,OT,VAN
2013020044,2013-10-08,2013-10-09T02:30:00Z,SJS,28,NYR,3,9,2,REG,SJS
2013020046,2013-10-09,2013-10-10T00:00:00Z,CGY,20,MTL,8,3,2,REG,CGY
2013020045,2013-10-09,2013-10-10T00:00:00Z,STL,19,CHI,16,3,2,REG,STL
2013020047,2013-10-09,2013-10-10T02:30:00Z,LAK,26,OTT,9,4,3,OT,LAK
2013020048,2013-10-10,2013-10-10T23:00:00Z,BOS,6,COL,21,0,2,REG,COL
2013020050,2013-10-10,2013-10-10T23:00:00Z,WSH,15,CAR,12,2,3,REG,CAR
2013020049,2013-10-10,2013-10-10T23:00:00Z,BUF,7,CBJ,29,1,4,REG,CBJ
2013020052,2013-10-10,2013-10-10T23:30:00Z,TBL,14,FLA,13,7,2,REG,TBL
2013020051,2013-10-10,2013-10-10T23:30:00Z,DET,17,PHX,27,2,4,REG,PHX
2013020053,2013-10-10,2013-10-11T00:00:00Z,NSH,18,TOR,10,0,4,REG,TOR
2013020054,2013-10-10,2013-10-11T00:00:00Z,MIN,30,WPG,52,2,1,REG,MIN
2013020055,2013-10-10,2013-10-11T01:30:00Z,EDM,22,MTL,8,1,4,REG,MTL
2013020057,2013-10-10,2013-10-11T02:00:00Z,ANA,24,NYR,3,6,0,REG,ANA
2013020056,2013-10-10,2013-10-11T02:00:00Z,VAN,23,SJS,28,1,4,REG,SJS
2013020059,2013-10-11,2013-10-11T23:00:00Z,CAR,12,LAK,26,1,2,SO,LAK
2013020058,2013-10-11,2013-10-11T23:00:00Z,PHI,4,PHX,27,1,2,REG,PHX
2013020060,2013-10-11,2013-10-11T23:30:00Z,FLA,13,PIT,5,6,3,REG,FLA
2013020062,2013-10-11,2013-10-12T00:00:00Z,WPG,52,DAL,25,1,4,REG,DAL
2013020061,2013-10-11,2013-10-12T00:00:00Z,CHI,16,NYI,2,3,2,REG,CHI
