gameIdx,team_tri,gameid,teamloc,goals,hits,goals_pp,shots,shots_blocked,poss_giveaway,poss_takeaway,win,seasonIdx,gameDate,gameEnd
PIT_PHI_2021-01-13,PIT,2020020001,away,3,5.0,0.0,1.0,2.0,2.0,0.0,0,2,2021-01-13,REG
PIT_PHI_2021-01-13,PHI,2020020001,home,6,9.0,0.0,5.0,0.0,1.0,1.0,1,2,2021-01-13,REG
MTL_TOR_2021-01-13,MTL,2020020003,away,4,3.0,0.0,4.0,1.0,3.0,0.0,0,2,2021-01-13,OT
MTL_TOR_2021-01-13,TOR,2020020003,home,5,4.0,0.0,1.0,4.0,0.0,0.0,1,2,2021-01-13,OT
CHI_TBL_2021-01-13,CHI,2020020002,away,1,0.0,0.0,2.0,3.0,0.0,1.0,0,2,2021-01-13,REG
CHI_TBL_2021-01-13,TBL,2020020002,home,5,2.0,0.0,4.0,2.0,0.0,0.0,1,2,2021-01-13,REG
VAN_EDM_2021-01-13,VAN,2020020004,away,5,4.0,0.0,6.0,0.0,2.0,0.0,1,2,2021-01-13,REG
VAN_EDM_2021-01-13,EDM,2020020004,home,3,2.0,0.0,3.0,4.0,0.0,0.0,0,2,2021-01-13,REG
STL_COL_2021-01-13,STL,2020020005,away,4,2.0,0.0,1.0,2.0,0.0,0.0,1,2,2021-01-13,REG
STL_COL_2021-01-13,COL,2020020005,home,1,1.0,0.0,0.0,3.0,1.0,1.0,0,2,2021-01-13,REG
WSH_BUF_2021-01-14,WSH,2020020006,away,6,4.0,0.0,4.0,1.0,0.0,0.0,1,2,2021-01-14,REG
WSH_BUF_2021-01-14,BUF,2020020006,home,4,0.0,1.0,2.0,0.0,2.0,2.0,0,2,2021-01-14,REG
NYI_NYR_2021-01-14,NYI,2020020008,away,4,0.0,0.0,4.0,1.0,0.0,1.0,1,2,2021-01-14,REG
NYI_NYR_2021-01-14,NYR,2020020008,home,0,4.0,0.0,4.0,2.0,1.0,3.0,0,2,2021-01-14,REG
BOS_NJD_2021-01-14,BOS,2020020007,away,3,2.0,0.0,2.0,1.0,1.0,1.0,1,2,2021-01-14,SO
BOS_NJD_2021-01-14,NJD,2020020007,home,2,3.0,0.0,1.0,2.0,1.0,2.0,0,2,2021-01-14,SO
CAR_DET_2021-01-14,CAR,2020020010,away,3,4.0,0.0,5.0,1.0,2.0,0.0,1,2,2021-01-14,REG
CAR_DET_2021-01-14,DET,2020020010,home,0,1.0,0.0,1.0,1.0,4.0,0.0,0,2,2021-01-14,REG
CGY_WPG_2021-01-14,CGY,2020020012,away,3,1.0,0.0,2.0,4.0,2.0,1.0,0,2,2021-01-14,OT
CGY_WPG_2021-01-14,WPG,2020020012,home,4,2.0,0.0,2.0,2.0,2.0,1.0,1,2,2021-01-14,OT
CBJ_NSH_2021-01-14,CBJ,2020020011,away,1,1.0,0.0,4.0,4.0,0.0,1.0,0,2,2021-01-14,REG
CBJ_NSH_2021-01-14,NSH,2020020011,home,3,2.0,0.0,7.0,3.0,1.0,1.0,1,2,2021-01-14,REG
VAN_EDM_2021-01-14,VAN,2020020013,away,2,5.0,0.0,4.0,3.0,1.0,0.0,0,2,2021-01-14,REG
VAN_EDM_2021-01-14,EDM,2020020013,home,5,6.0,0.0,2.0,9.0,2.0,1.0,1,2,2021-01-14,REG
SJS_ARI_2021-01-14,SJS,2020020014,away,4,4.0,0.0,8.0,1.0,1.0,0.0,1,2,2021-01-14,SO
SJS_ARI_2021-01-14,ARI,2020020014,home,3,1.0,0.0,3.0,2.0,3.0,1.0,0,2,2021-01-14,SO
