gameid,date,time_start,tricode_for,id_for,tricode_against,id_against,metric_score_for,metric_score_against,period_ending,tricode_winteam
2023020001,2023-10-10,2023-10-10T21:30:00Z,TBL,14,NSH,18,5,3,REG,TBL
2023020002,2023-10-10,2023-10-11T00:00:00Z,PIT,5,CHI,16,2,4,REG,CHI
2023020003,2023-10-10,2023-10-11T02:30:00Z,VGK,54,SEA,55,4,1,REG,VGK
2023020005,2023-10-11,2023-10-11T23:00:00Z,TOR,10,MTL,8,6,5,SO,TOR
2023020004,2023-10-11,2023-10-11T23:00:00Z,CAR,12,OTT,9,5,3,REG,CAR
2023020006,2023-10-11,2023-10-11T23:30:00Z,BOS,6,CHI,16,3,1,REG,BOS
2023020009,2023-10-11,2023-10-12T02:00:00Z,VAN,23,EDM,22,8,1,REG,VAN
2023020008,2023-10-11,2023-10-12T02:00:00Z,LAK,26,COL,21,2,5,REG,COL
2023020007,2023-10-11,2023-10-12T02:00:00Z,CGY,20,WPG,52,5,3,REG,CGY
2023020010,2023-10-12,2023-10-12T23:00:00Z,BUF,7,NYR,3,1,5,REG,NYR
2023020011,2023-10-12,2023-10-12T23:00:00Z,CBJ,29,PHI,4,2,4,REG,PHI
2023020012,2023-10-12,2023-10-12T23:30:00Z,NJD,1,DET,17,4,3,REG,NJD
2023020014,2023-10-12,2023-10-13T00:00:00Z,MIN,30,FLA,13,2,0,REG,MIN
2023020015,2023-10-12,2023-10-13T00:00:00Z,NSH,18,SEA,55,3,0,REG,NSH
2023020013,2023-10-12,2023-10-13T00:00:00Z,DAL,25,STL,19,2,1,SO,DAL
2023020016,2023-10-12,2023-10-13T02:30:00Z,SJS,28,VGK,54,1,4,REG,VGK
2023020017,2023-10-13,2023-10-13T23:00:00Z,NJD,1,ARI,53,3,4,SO,ARI
2023020018,2023-10-13,2023-10-13T23:30:00Z,WSH,15,PIT,5,0,4,REG,PIT
2023020019,2023-10-14,2023-10-14T17:00:00Z,OTT,9,PHI,4,5,2,REG,OTT
2023020020,2023-10-14,2023-10-14T20:00:00Z,WPG,52,FLA,13,6,4,REG,WPG
2023020024,2023-10-14,2023-10-14T23:00:00Z,MTL,8,CHI,16,3,2,REG,MTL
2023020022,2023-10-14,2023-10-14T23:00:00Z,CBJ,29,NYR,3,5,3,REG,CBJ
2023020026,2023-10-14,2023-10-14T23:00:00Z,TOR,10,MIN,30,7,4,REG,TOR
2023020025,2023-10-14,2023-10-14T23:00:00Z,PIT,5,CGY,20,5,2,REG,PIT
2023020021,2023-10-14,2023-10-14T23:00:00Z,BOS,6,NSH,18,3,2,REG,BOS
2023020023,2023-10-14,2023-10-14T23:00:00Z,DET,17,TBL,14,6,4,REG,DET
2023020027,2023-10-14,2023-10-14T23:30:00Z,NYI,2,BUF,7,3,2,REG,NYI
2023020028,2023-10-14,2023-10-15T00:00:00Z,STL,19,SEA,55,2,1,SO,STL
2023020029,2023-10-14,2023-10-15T02:00:00Z,EDM,22,VAN,23,3,4,REG,VAN
2023020031,2023-10-14,2023-10-15T02:00:00Z,VGK,54,ANA,24,4,1,REG,VGK
2023020030,2023-10-14,2023-10-15T02:00:00Z,SJS,28,COL,21,1,2,SO,COL
2023020032,2023-10-14,2023-10-15T02:30:00Z,LAK,26,CAR,12,5,6,SO,CAR
2023020033,2023-10-15,2023-10-15T23:00:00Z,OTT,9,TBL,14,5,2,REG,OTT
2023020034,2023-10-15,2023-10-16T00:30:00Z,ANA,24,CAR,12,6,3,REG,ANA
2023020039,2023-10-16,2023-10-16T23:00:00Z,WSH,15,CGY,20,3,2,SO,WSH
2023020038,2023-10-16,2023-10-16T23:00:00Z,TOR,10,CHI,16,1,4,REG,CHI
2023020035,2023-10-16,2023-10-16T23:00:00Z,CBJ,29,DET,17,0,4,REG,DET
2023020037,2023-10-16,2023-10-16T23:00:00Z,NYR,3,ARI,53,2,1,REG,NYR
2023020036,2023-10-16,2023-10-16T23:00:00Z,NJD,1,FLA,13,3,4,REG,FLA
2023020042,2023-10-17,2023-10-17T22:00:00Z,PHI,4,VAN,23,2,0,REG,PHI
2023020041,2023-10-17,2023-10-17T23:00:00Z,MTL,8,MIN,30,2,5,REG,MIN
2023020043,2023-10-17,2023-10-17T23:30:00Z,NYI,2,ARI,53,1,0,REG,NYI
2023020040,2023-10-17,2023-10-17T23:30:00Z,BUF,7,TBL,14,3,2,OT,BUF
2023020044,2023-10-17,2023-10-18T00:00:00Z,NSH,18,EDM,22,1,6,REG,EDM
2023020045,2023-10-17,2023-10-18T00:00:00Z,WPG,52,LAK,26,1,5,REG,LAK
2023020046,2023-10-17,2023-10-18T02:00:00Z,SEA,55,COL,21,1,4,REG,COL
2023020048,2023-10-17,2023-10-18T02:30:00Z,VGK,54,DAL,25,3,2,SO,VGK
2023020047,2023-10-17,2023-10-18T02:30:00Z,SJS,28,CAR,12,3,6,REG,CAR
2023020049,2023-10-18,2023-10-18T23:00:00Z,OTT,9,WSH,15,6,1,REG,OTT
2023020050,2023-10-18,2023-10-18T23:30:00Z,DET,17,PIT,5,6,3,REG,DET
2023020051,2023-10-19,2023-10-19T23:00:00Z,BUF,7,CGY,20,3,4,REG,CGY
2023020052,2023-10-19,2023-10-19T23:00:00Z,FLA,13,TOR,10,3,1,REG,FLA
2023020055,2023-10-19,2023-10-19T23:00:00Z,TBL,14,VAN,23,4,3,REG,TBL
2023020053,2023-10-19,2023-10-19T23:00:00Z,NYR,3,NSH,18,1,4,REG,NSH
2023020054,2023-10-19,2023-10-19T23:30:00Z,PHI,4,EDM,22,4,1,REG,PHI
2023020058,2023-10-19,2023-10-20T00:00:00Z,WPG,52,VGK,54,3,5,REG,VGK
2023020056,2023-10-19,2023-10-20T00:00:00Z,MIN,30,LAK,26,3,7,REG,LAK
2023020057,2023-10-19,2023-10-20T00:00:00Z,STL,19,ARI,53,2,6,REG,ARI
2023020060,2023-10-19,2023-10-20T02:00:00Z,SEA,55,CAR,12,7,4,REG,SEA
2023020059,2023-10-19,2023-10-20T02:00:00Z,ANA,24,DAL,25,2,3,REG,DAL
2023020062,2023-10-19,2023-10-20T02:30:00Z,SJS,28,BOS,6,1,3,REG,BOS
2023020061,2023-10-19,2023-10-20T02:30:00Z,COL,21,CHI,16,4,0,REG,COL
2023020063,2023-10-20,2023-10-20T23:00:00Z,CBJ,29,CGY,20,3,1,REG,CBJ
2023020064,2023-10-20,2023-10-20T23:30:00Z,NYI,2,NJD,1,4,5,OT,NJD
2023020065,2023-10-21,2023-10-21T17:00:00Z,OTT,9,DET,17,2,5,REG,DET
2023020066,2023-10-21,2023-10-21T20:00:00Z,ARI,53,ANA,24,2,1,REG,ARI
2023020067,2023-10-21,2023-10-21T23:00:00Z,BUF,7,NYI,2,3,1,REG,BUF
2023020070,2023-10-21,2023-10-21T23:00:00Z,TBL,14,TOR,10,3,4,OT,TOR
2023020068,2023-10-21,2023-10-21T23:00:00Z,FLA,13,VAN,23,3,5,REG,VAN
2023020069,2023-10-21,2023-10-21T23:00:00Z,MTL,8,WSH,15,3,2,OT,MTL
