gameType,gameid,homeTeam.id,homeTeam.abbrev,awayTeam.id,awayTeam.abbrev,odds_description,home_odds_value,away_odds_value,bettingPartner,startTimeUTC,lastUpdatedUTC
2,2026020001,12,CAR,13,FLA,PUCK_LINE,186.0,-235.0,FanDuel,2026-09-29T21:00:00Z,2026-08-14T20:45:01Z
2,2026020001,12,CAR,13,FLA,OVER_UNDER,106.0,-130.0,FanDuel,2026-09-29T21:00:00Z,2026-08-14T20:45:01Z
2,2026020001,12,CAR,13,FLA,MONEY_LINE_3_WAY,130.0,165.0,FanDuel,2026-09-29T21:00:00Z,2026-08-14T20:45:01Z
2,2026020001,12,CAR,13,FLA,MONEY_LINE_2_WAY,-125.0,104.0,FanDuel,2026-09-29T21:00:00Z,2026-08-14T20:45:01Z
2,2026020002,10,TOR,8,MTL,PUCK_LINE,205.0,-260.0,FanDuel,2026-09-29T23:00:00Z,2026-08-14T20:45:01Z
2,2026020002,10,TOR,8,MTL,OVER_UNDER,106.0,-130.0,FanDuel,2026-09-29T23:00:00Z,2026-08-14T20:45:01Z
2,2026020002,10,TOR,8,MTL,MONEY_LINE_3_WAY,300.0,300.0,FanDuel,2026-09-29T23:00:00Z,2026-08-14T20:45:01Z
2,2026020002,10,TOR,8,MTL,MONEY_LINE_2_WAY,-114.0,-105.0,FanDuel,2026-09-29T23:00:00Z,2026-08-14T20:45:01Z
2,2026020003,6,BOS,3,NYR,PUCK_LINE,205.0,-260.0,FanDuel,2026-09-30T00:00:00Z,2026-08-14T20:45:01Z
2,2026020003,6,BOS,3,NYR,OVER_UNDER,-128.0,104.0,FanDuel,2026-09-30T00:00:00Z,2026-08-14T20:45:01Z
2,2026020003,6,BOS,3,NYR,MONEY_LINE_3_WAY,270.0,270.0,FanDuel,2026-09-30T00:00:00Z,2026-08-14T20:45:01Z
2,2026020003,6,BOS,3,NYR,MONEY_LINE_2_WAY,-118.0,-102.0,FanDuel,2026-09-30T00:00:00Z,2026-08-14T20:45:01Z
2,2026020004,22,EDM,23,VAN,PUCK_LINE,-112.0,-108.0,FanDuel,2026-09-30T02:00:00Z,2026-08-14T20:45:01Z
2,2026020004,22,EDM,23,VAN,OVER_UNDER,-108.0,-112.0,FanDuel,2026-09-30T02:00:00Z,2026-08-14T20:45:01Z
2,2026020004,22,EDM,23,VAN,MONEY_LINE_3_WAY,-170.0,360.0,FanDuel,2026-09-30T02:00:00Z,2026-08-14T20:45:01Z
2,2026020004,22,EDM,23,VAN,MONEY_LINE_2_WAY,-280.0,225.0,FanDuel,2026-09-30T02:00:00Z,2026-08-14T20:45:01Z
2,2026020005,54,VGK,16,CHI,PUCK_LINE,-108.0,-112.0,FanDuel,2026-09-30T02:30:00Z,2026-08-14T20:45:01Z
2,2026020005,54,VGK,16,CHI,OVER_UNDER,-128.0,104.0,FanDuel,2026-09-30T02:30:00Z,2026-08-14T20:45:01Z
2,2026020005,54,VGK,16,CHI,MONEY_LINE_3_WAY,-175.0,350.0,FanDuel,2026-09-30T02:30:00Z,2026-08-14T20:45:01Z
2,2026020005,54,VGK,16,CHI,MONEY_LINE_2_WAY,-275.0,220.0,FanDuel,2026-09-30T02:30:00Z,2026-08-14T20:45:01Z
