gameid,date,time_start,tricode_for,id_for,tricode_against,id_against,metric_score_for,metric_score_against,period_ending,tricode_winteam
2022020001,2022-10-07,2022-10-07T18:00:00Z,NSH,18,SJS,28,4.0,1.0,REG,NSH
2022020002,2022-10-08,2022-10-08T18:00:00Z,SJS,28,NSH,18,2.0,3.0,REG,NSH
2022020003,2022-10-11,2022-10-11T23:30:00Z,NYR,3,TBL,14,3.0,1.0,REG,NYR
2022020004,2022-10-11,2022-10-12T02:00:00Z,LAK,26,VGK,54,3.0,4.0,REG,VGK
2022020006,2022-10-12,2022-10-12T23:00:00Z,CAR,12,CBJ,29,4.0,1.0,REG,CAR
2022020007,2022-10-12,2022-10-12T23:00:00Z,MTL,8,TOR,10,4.0,3.0,REG,MTL
2022020005,2022-10-12,2022-10-12T23:00:00Z,WSH,15,BOS,6,2.0,5.0,REG,BOS
2022020008,2022-10-12,2022-10-13T01:30:00Z,COL,21,CHI,16,5.0,2.0,REG,COL
2022020010,2022-10-12,2022-10-13T02:00:00Z,EDM,22,VAN,23,5.0,3.0,REG,EDM
2022020009,2022-10-12,2022-10-13T02:00:00Z,ANA,24,SEA,55,5.0,4.0,OT,ANA
2022020013,2022-10-13,2022-10-13T23:00:00Z,BUF,7,OTT,9,4.0,1.0,REG,BUF
2022020012,2022-10-13,2022-10-13T23:00:00Z,PHI,4,NJD,1,5.0,2.0,REG,PHI
2022020011,2022-10-13,2022-10-13T23:00:00Z,PIT,5,ARI,53,6.0,2.0,REG,PIT
2022020014,2022-10-13,2022-10-13T23:30:00Z,NYI,2,FLA,13,1.0,3.0,REG,FLA
2022020015,2022-10-13,2022-10-13T23:30:00Z,TOR,10,WSH,15,3.0,2.0,REG,TOR
2022020017,2022-10-13,2022-10-14T00:00:00Z,MIN,30,NYR,3,3.0,7.0,REG,NYR
2022020016,2022-10-13,2022-10-14T00:30:00Z,NSH,18,DAL,25,1.0,4.0,REG,DAL
2022020018,2022-10-13,2022-10-14T01:30:00Z,CGY,20,COL,21,5.0,3.0,REG,CGY
2022020019,2022-10-13,2022-10-14T02:00:00Z,VGK,54,CHI,16,1.0,0.0,REG,VGK
2022020020,2022-10-13,2022-10-14T02:30:00Z,LAK,26,SEA,55,1.0,4.0,REG,SEA
2022020021,2022-10-14,2022-10-14T23:00:00Z,CBJ,29,TBL,14,2.0,5.0,REG,TBL
2022020022,2022-10-14,2022-10-14T23:00:00Z,DET,17,MTL,8,3.0,0.0,REG,DET
2022020023,2022-10-14,2022-10-15T00:00:00Z,WPG,52,NYR,3,4.0,1.0,REG,WPG
2022020024,2022-10-14,2022-10-15T02:30:00Z,SJS,28,CAR,12,1.0,2.0,REG,CAR
2022020025,2022-10-15,2022-10-15T17:00:00Z,BUF,7,FLA,13,3.0,4.0,REG,FLA
2022020026,2022-10-15,2022-10-15T20:00:00Z,PHI,4,VAN,23,3.0,2.0,REG,PHI
2022020029,2022-10-15,2022-10-15T23:00:00Z,WSH,15,MTL,8,3.0,1.0,REG,WSH
