gameid,gameType,startTimeUTC,homeTeam.id,homeTeam.name.default,homeTeam.abbrev,homeTeam.logo,awayTeam.id,awayTeam.name.default,awayTeam.abbrev,awayTeam.logo,odds_description,home_odds_value,away_odds_value,currentOddsDate,lastUpdatedUTC,bettingPartner,homeTeam.name.fr,gameid.1,gameid.2,awayTeam.name.fr,gameid.3,gameid
,1,2025-10-04T16:30:00Z,4,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,MONEY_LINE_3_WAY,340.0,340.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010094
,1,2025-10-04T16:30:00Z,4,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,MONEY_LINE_2_WAY,-195.0,150.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010094
,1,2025-10-04T18:00:00Z,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,3,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,PUCK_LINE,100.0,-130.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010095
,1,2025-10-04T18:00:00Z,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,3,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,OVER_UNDER,-135.0,105.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010095
,1,2025-10-04T18:00:00Z,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,3,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,MONEY_LINE_3_WAY,280.0,280.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010095
,1,2025-10-04T18:00:00Z,6,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,3,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,MONEY_LINE_2_WAY,-520.0,350.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010095
,1,2025-10-04T23:00:00Z,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,PUCK_LINE,170.0,-205.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,Sénateurs,,2025010096
,1,2025-10-04T23:00:00Z,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,OVER_UNDER,-122.0,102.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,Sénateurs,,2025010096
,1,2025-10-04T23:00:00Z,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,MONEY_LINE_3_WAY,-105.0,180.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,Sénateurs,,2025010096
,1,2025-10-04T23:00:00Z,8,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,9,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,MONEY_LINE_2_WAY,-135.0,114.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,Sénateurs,,2025010096
,1,2025-10-04T23:00:00Z,16,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,19,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,PUCK_LINE,-142.0,120.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010097
,1,2025-10-04T23:00:00Z,16,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,19,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,OVER_UNDER,-135.0,114.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010097
,1,2025-10-04T23:00:00Z,16,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,19,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,MONEY_LINE_3_WAY,210.0,-130.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010097
,1,2025-10-04T23:00:00Z,16,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,19,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,MONEY_LINE_2_WAY,164.0,-198.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010097
,1,2025-10-05T00:00:00Z,68,Mammoth,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,PUCK_LINE,105.0,-125.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010098
,1,2025-10-05T00:00:00Z,68,Mammoth,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,OVER_UNDER,-135.0,114.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010098
,1,2025-10-05T00:00:00Z,68,Mammoth,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,28,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,MONEY_LINE_3_WAY,-175.0,280.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010098
