gameIdx,team_tri,gameid,teamloc,goals,hits,goals_pp,shots,shots_blocked,poss_giveaway,poss_takeaway,win,seasonIdx,gameDate,gameEnd
TOR_MTL_2013-10-01,TOR,2013020001,away,4,6.0,0.0,1.0,3.0,1.0,0.0,1,2,2013-10-01,REG
TOR_MTL_2013-10-01,MTL,2013020001,home,3,3.0,0.0,2.0,2.0,0.0,0.0,0,2,2013-10-01,REG
WSH_CHI_2013-10-01,WSH,2013020002,away,4,4.0,1.0,10.0,2.0,0.0,0.0,0,2,2013-10-01,REG
WSH_CHI_2013-10-01,CHI,2013020002,home,6,4.0,0.0,9.0,3.0,1.0,3.0,1,2,2013-10-01,REG
WPG_EDM_2013-10-01,WPG,2013020003,away,5,4.0,0.0,4.0,5.0,1.0,0.0,1,2,2013-10-01,REG
WPG_EDM_2013-10-01,EDM,2013020003,home,4,3.0,0.0,2.0,2.0,3.0,1.0,0,2,2013-10-01,REG
TOR_PHI_2013-10-02,TOR,2013020004,away,3,4.0,0.0,1.0,1.0,1.0,1.0,1,2,2013-10-02,REG
TOR_PHI_2013-10-02,PHI,2013020004,home,1,2.0,1.0,1.0,0.0,0.0,0.0,0,2,2013-10-02,REG
BUF_DET_2013-10-02,BUF,2013020005,away,1,4.0,0.0,4.0,0.0,1.0,1.0,0,2,2013-10-02,REG
BUF_DET_2013-10-02,DET,2013020005,home,2,7.0,0.0,2.0,0.0,0.0,0.0,1,2,2013-10-02,REG
ANA_COL_2013-10-02,ANA,2013020006,away,1,2.0,0.0,5.0,1.0,0.0,0.0,0,2,2013-10-02,REG
ANA_COL_2013-10-02,COL,2013020006,home,6,1.0,0.0,3.0,1.0,1.0,1.0,1,2,2013-10-02,REG
TBL_BOS_2013-10-03,TBL,2013020007,away,1,2.0,0.0,3.0,2.0,0.0,0.0,0,2,2013-10-03,REG
TBL_BOS_2013-10-03,BOS,2013020007,home,3,3.0,0.0,3.0,0.0,0.0,0.0,1,2,2013-10-03,REG
CGY_WSH_2013-10-03,CGY,2013020009,away,4,2.0,0.0,1.0,3.0,1.0,1.0,0,2,2013-10-03,SO
CGY_WSH_2013-10-03,WSH,2013020009,home,5,7.0,1.0,12.0,1.0,0.0,1.0,1,2,2013-10-03,SO
NJD_PIT_2013-10-03,NJD,2013020008,away,0,6.0,0.0,3.0,0.0,1.0,0.0,0,2,2013-10-03,REG
NJD_PIT_2013-10-03,PIT,2013020008,home,3,4.0,0.0,2.0,6.0,0.0,0.0,1,2,2013-10-03,REG
LAK_MIN_2013-10-03,LAK,2013020011,away,3,3.0,0.0,2.0,3.0,0.0,0.0,1,2,2013-10-03,SO
LAK_MIN_2013-10-03,MIN,2013020011,home,2,3.0,0.0,5.0,1.0,0.0,0.0,0,2,2013-10-03,SO
NSH_STL_2013-10-03,NSH,2013020010,away,2,1.0,0.0,5.0,0.0,0.0,2.0,0,2,2013-10-03,REG
NSH_STL_2013-10-03,STL,2013020010,home,4,1.0,0.0,0.0,4.0,0.0,1.0,1,2,2013-10-03,REG
FLA_DAL_2013-10-03,FLA,2013020012,away,4,0.0,0.0,3.0,3.0,1.0,0.0,1,2,2013-10-03,REG
FLA_DAL_2013-10-03,DAL,2013020012,home,2,3.0,0.0,1.0,0.0,0.0,0.0,0,2,2013-10-03,REG
VAN_SJS_2013-10-03,VAN,2013020014,away,1,3.0,0.0,3.0,2.0,1.0,0.0,0,2,2013-10-03,REG
VAN_SJS_2013-10-03,SJS,2013020014,home,4,1.0,0.0,7.0,4.0,3.0,0.0,1,2,2013-10-03,REG
NYR_PHX_2013-10-03,NYR,2013020013,away,1,1.0,0.0,2.0,2.0,0.0,0.0,0,2,2013-10-03,REG
NYR_PHX_2013-10-03,PHX,2013020013,home,4,5.0,0.0,4.0,3.0,0.0,1.0,1,2,2013-10-03,REG
OTT_BUF_2013-10-04,OTT,2013020015,away,1,4.0,0.0,6.0,1.0,0.0,0.0,1,2,2013-10-04,REG
OTT_BUF_2013-10-04,BUF,2013020015,home,0,7.0,0.0,1.0,3.0,1.0,0.0,0,2,2013-10-04,REG
NYI_NJD_2013-10-04,NYI,2013020016,away,4,1.0,0.0,2.0,2.0,1.0,1.0,1,2,2013-10-04,SO
NYI_NJD_2013-10-04,NJD,2013020016,home,3,2.0,0.0,5.0,1.0,0.0,1.0,0,2,2013-10-04,SO
CGY_CBJ_2013-10-04,CGY,2013020018,away,4,6.0,0.0,1.0,1.0,0.0,0.0,1,2,2013-10-04,REG
CGY_CBJ_2013-10-04,CBJ,2013020018,home,3,5.0,0.0,3.0,1.0,0.0,0.0,0,2,2013-10-04,REG
DET_CAR_2013-10-04,DET,2013020017,away,3,9.0,0.0,5.0,2.0,1.0,1.0,1,2,2013-10-04,OT
DET_CAR_2013-10-04,CAR,2013020017,home,2,3.0,0.0,4.0,7.0,1.0,4.0,0,2,2013-10-04,OT
LAK_WPG_2013-10-04,LAK,2013020019,away,3,5.0,0.0,3.0,4.0,0.0,0.0,0,2,2013-10-04,REG
LAK_WPG_2013-10-04,WPG,2013020019,home,5,6.0,0.0,8.0,1.0,2.0,0.0,1,2,2013-10-04,REG
NSH_COL_2013-10-04,NSH,2013020020,away,1,0.0,0.0,1.0,1.0,1.0,2.0,0,2,2013-10-04,REG
NSH_COL_2013-10-04,COL,2013020020,home,3,3.0,0.0,4.0,0.0,1.0,0.0,1,2,2013-10-04,REG
CBJ_NYI_2013-10-05,CBJ,2013020024,away,3,1.0,0.0,5.0,1.0,1.0,0.0,1,2,2013-10-05,SO
CBJ_NYI_2013-10-05,NYI,2013020024,home,2,4.0,0.0,1.0,1.0,2.0,1.0,0,2,2013-10-05,SO
PHI_MTL_2013-10-05,PHI,2013020023,away,1,4.0,0.0,3.0,1.0,3.0,0.0,0,2,2013-10-05,REG
PHI_MTL_2013-10-05,MTL,2013020023,home,4,4.0,0.0,2.0,0.0,1.0,0.0,1,2,2013-10-05,REG
DET_BOS_2013-10-05,DET,2013020021,away,1,3.0,0.0,3.0,0.0,2.0,0.0,0,2,2013-10-05,REG
DET_BOS_2013-10-05,BOS,2013020021,home,4,5.0,0.0,1.0,1.0,2.0,1.0,1,2,2013-10-05,REG
BUF_PIT_2013-10-05,BUF,2013020025,away,1,2.0,0.0,1.0,1.0,0.0,0.0,0,2,2013-10-05,REG
BUF_PIT_2013-10-05,PIT,2013020025,home,4,2.0,0.0,7.0,2.0,0.0,1.0,1,2,2013-10-05,REG
OTT_TOR_2013-10-05,OTT,2013020022,away,4,6.0,0.0,4.0,4.0,3.0,1.0,0,2,2013-10-05,SO
OTT_TOR_2013-10-05,TOR,2013020022,home,5,6.0,0.0,4.0,1.0,1.0,0.0,1,2,2013-10-05,SO
TBL_CHI_2013-10-05,TBL,2013020026,away,3,4.0,0.0,0.0,0.0,1.0,0.0,1,2,2013-10-05,SO
TBL_CHI_2013-10-05,CHI,2013020026,home,2,3.0,0.0,8.0,2.0,1.0,4.0,0,2,2013-10-05,SO
WSH_DAL_2013-10-05,WSH,2013020028,away,1,5.0,1.0,8.0,2.0,0.0,1.0,0,2,2013-10-05,REG
WSH_DAL_2013-10-05,DAL,2013020028,home,2,5.0,0.0,2.0,4.0,1.0,0.0,1,2,2013-10-05,REG
FLA_STL_2013-10-05,FLA,2013020027,away,0,0.0,0.0,3.0,1.0,1.0,0.0,0,2,2013-10-05,REG
FLA_STL_2013-10-05,STL,2013020027,home,7,2.0,0.0,3.0,3.0,1.0,3.0,1,2,2013-10-05,REG
ANA_MIN_2013-10-05,ANA,2013020029,away,4,4.0,0.0,5.0,1.0,3.0,0.0,1,2,2013-10-05,OT
ANA_MIN_2013-10-05,MIN,2013020029,home,3,3.0,0.0,3.0,0.0,1.0,0.0,0,2,2013-10-05,OT
EDM_VAN_2013-10-05,EDM,2013020030,away,2,4.0,0.0,5.0,2.0,2.0,2.0,0,2,2013-10-05,REG
EDM_VAN_2013-10-05,VAN,2013020030,home,6,2.0,0.0,2.0,1.0,2.0,1.0,1,2,2013-10-05,REG
