id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,condensedGameFr,awayTeam.commonName.fr,ticketsLinkFr,homeTeam.commonName.fr,winningGoalie.lastName.de,winningGoalie.lastName.es,winningGoalie.lastName.sv,specialEvent.parentId,specialEvent.name.default,specialEvent.lightLogoUrl.default,specialEvent.lightLogoUrl.fr,specialEvent.name.fr,tricode_winteam
2025020011,20252026,2,2025-10-09,False,2025-10-09T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,5.0,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4.0,REG,3,REG,8476999.0,8473512.0,/video/ott-at-tbl-condensed-game-6382536035112,/fr/video/match-condense-senators-lightning-09-10-2025-6382534561112,Sénateurs,,,,,,,,,,,OTT
2025020014,20252026,2,2025-10-09,False,2025-10-09T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,3.0,12,Hurricanes,Carolina,de la Caroline,CAR,6.0,REG,3,REG,8475883.0,8482093.0,/video/njd-at-car-condensed-game-6382534375112,/fr/video/match-condense-devils-hurricanes-09-10-2025-6382534944112,,,,,,,,,,,,CAR
2025020016,20252026,2,2025-10-09,False,2025-10-10T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,1.0,18,Predators,Nashville,de Nashville,NSH,2.0,REG,3,REG,8477424.0,8475158.0,/video/cbj-at-nsh-condensed-game-6382536477112,/fr/video/match-condense-blue-jackets-predators-09-10-2025-6382537360112,,,,,,,,,,,,NSH
2025020017,20252026,2,2025-10-09,False,2025-10-10T00:00:00Z,-04:00,-05:00,America/Winnipeg,OFF,OK,25,Stars,Dallas,de Dallas,DAL,5.0,52,Jets,Winnipeg,de Winnipeg,WPG,4.0,REG,3,REG,8479979.0,8482740.0,/video/dal-at-wpg-condensed-game-6382538451112,/fr/video/match-condense-stars-jets-09-10-2025-6382535901112,,,,,,,,,,,,DAL
2025020015,20252026,2,2025-10-09,False,2025-10-10T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,5.0,19,Blues,St. Louis,de St. Louis,STL,0.0,REG,3,REG,8479406.0,8477451.0,/video/min-at-stl-condensed-game-6382536077112,/fr/video/match-condense-wild-blues-09-10-2025-6382535678112,,,,,,,,,,,,MIN
2025020018,20252026,2,2025-10-09,False,2025-10-10T01:00:00Z,-04:00,-06:00,America/Denver,OFF,OK,68,Mammoth,Utah,de l'Utah,UTA,1.0,21,Avalanche,Colorado,du Colorado,COL,2.0,REG,3,REG,8475809.0,8477492.0,,/fr/video/match-condense-mammoth-avalanche-09-10-2025-6382537513112,,,,,,,,,,,,COL
2025020019,20252026,2,2025-10-09,False,2025-10-10T02:00:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,20,Flames,Calgary,de Calgary,CGY,1.0,23,Canucks,Vancouver,de Vancouver,VAN,5.0,REG,3,REG,8477967.0,8480078.0,,/fr/video/match-condense-flames-canucks-09-10-2025-6382539031112,,,,,,,,,,,,VAN
2025020021,20252026,2,2025-10-09,False,2025-10-10T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,1.0,55,Kraken,Seattle,de Seattle,SEA,3.0,REG,3,REG,8478916.0,8478975.0,/video/ana-at-sea-condensed-game-6382539425112,/fr/video/match-condense-ducks-kraken-09-10-2025-6382540120112,,,,,,,,,,,,SEA
2025020020,20252026,2,2025-10-09,False,2025-10-10T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,4.0,28,Sharks,San Jose,de San Jose,SJS,3.0,OT,3,OT,8481033.0,8475191.0,,/fr/video/match-condense-golden-knights-sharks-09-10-2025-6382539427112,,,,,,,,,,,,VGK
2025020022,20252026,2,2025-10-11,False,2025-10-11T17:30:00Z,-04:00,-05:00,America/Winnipeg,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,2.0,52,Jets,Winnipeg,de Winnipeg,WPG,3.0,REG,3,REG,8476945.0,8476460.0,/video/lak-at-wpg-condensed-game-6382630160112,,,,,,,,,,,,,WPG
2025020023,20252026,2,2025-10-11,False,2025-10-11T20:00:00Z,-04:00,-06:00,US/Mountain,OFF,OK,19,Blues,St. Louis,de St. Louis,STL,4.0,20,Flames,Calgary,de Calgary,CGY,2.0,REG,3,REG,8480981.0,8482089.0,/video/stl-at-cgy-condensed-game-6382632227112,/fr/video/match-condense-blues-flames-11-10-2025-6382631955112,,,,,,,,,,,,STL
2025020024,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,1.0,6,Bruins,Boston,de Boston,BOS,3.0,REG,3,REG,8480280.0,8480355.0,/video/buf-at-bos-condensed-game-6382638545112,,,,,,,,,,,,,BOS
2025020030,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,3.0,12,Hurricanes,Carolina,de la Caroline,CAR,4.0,OT,3,OT,8475883.0,8482093.0,,/fr/video/match-condense-flyers-hurricanes-11-10-2025-6382639052112,,,,,,,,,,,,CAR
2025020026,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,5.0,14,Lightning,Tampa Bay,de Tampa Bay,TBL,3.0,REG,3,REG,8474593.0,8479407.0,/video/njd-at-tbl-condensed-game-6382636410112,/fr/video/match-condense-devils-lightning-11-10-2025-6382637081112,,,,,,Markström,,,,,,NJD
2025020025,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-04:00,America/Detroit,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,3.0,17,Red Wings,Detroit,de Detroit,DET,6.0,REG,3,REG,8475660.0,8482078.0,/video/tor-at-det-condensed-game-6382638754112,,,,,,,,,,,,,DET
2025020029,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,3,Rangers,New York,de New York,NYR,6.0,5,Penguins,Pittsburgh,de Pittsburgh,PIT,1.0,REG,3,REG,8478048.0,8479323.0,/video/nyr-at-pit-condensed-game-6382637670112,/fr/video/match-condense-rangers-penguins-11-10-2025-6382637379112,,,,,,,,,,,,NYR
2025020031,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-05:00,America/Chicago,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,3.0,16,Blackhawks,Chicago,de Chicago,CHI,2.0,REG,3,REG,8478470.0,8482087.0,,/fr/video/match-condense-canadiens-blackhawks-11-10-2025-6382638471112,,,,,,,,,,,,MTL
2025020027,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,2.0,13,Panthers,Florida,de la Floride,FLA,6.0,REG,3,REG,8475683.0,8477932.0,,/fr/video/match-condense-senators-panthers-11-10-2025-6382638556112,Sénateurs,,,,,,,,,,,FLA
2025020028,20252026,2,2025-10-11,False,2025-10-11T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,15,Capitals,Washington,de Washington,WSH,4.0,2,Islanders,New York,de New York,NYI,2.0,REG,3,REG,8480313.0,8484186.0,/video/wsh-at-nyi-condensed-game-6382636416112,/fr/video/match-condense-capitals-islanders-11-10-2025-6382638365112,,,,,,,,,,,,WSH
2025020032,20252026,2,2025-10-11,False,2025-10-12T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,68,Mammoth,Utah,de l'Utah,UTA,3.0,18,Predators,Nashville,de Nashville,NSH,2.0,OT,3,OT,8478872.0,8482699.0,/video/uta-at-nsh-condensed-game-6382638540112,/fr/video/match-condense-mammoth-predators-11-10-2025-6382640380112,,,,,,,,,,,,UTA
2025020033,20252026,2,2025-10-11,False,2025-10-12T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,7.0,30,Wild,Minnesota,du Minnesota,MIN,4.0,REG,3,REG,8478007.0,8480893.0,,,,,,,,,,,,,,CBJ
2025020034,20252026,2,2025-10-11,False,2025-10-12T01:00:00Z,-04:00,-06:00,America/Denver,OFF,OK,25,Stars,Dallas,de Dallas,DAL,5.0,21,Avalanche,Colorado,du Colorado,COL,4.0,SO,3,SO,8479979.0,,/video/dal-at-col-condensed-game-6382641121112,/fr/video/match-condense-stars-avalanche-11-10-2025-6382641411112,,,,,,,,,,,,DAL
2025020037,20252026,2,2025-10-11,False,2025-10-12T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,1.0,55,Kraken,Seattle,de Seattle,SEA,2.0,OT,3,OT,8478916.0,8477955.0,/video/vgk-at-sea-condensed-game-6382643013112,/fr/video/match-condense-golden-knights-kraken-11-10-2025-6382641735112,,,,,,,,,,,,SEA
2025020036,20252026,2,2025-10-11,False,2025-10-12T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,7.0,28,Sharks,San Jose,de San Jose,SJS,6.0,OT,3,OT,8475852.0,8484153.0,/video/ana-at-sjs-condensed-game-6382642511112,/fr/video/match-condense-ducks-sharks-11-10-2025-6382640658112,,,,,,,,,,,,ANA
2025020035,20252026,2,2025-10-11,False,2025-10-12T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,1.0,22,Oilers,Edmonton,d'Edmonton,EDM,3.0,REG,3,REG,8475717.0,8478233.0,/video/van-at-edm-condensed-game-6382641348112,/fr/video/match-condense-canucks-oilers-11-10-2025-6382641054112,,,,,,,,,,,,EDM
2025020038,20252026,2,2025-10-12,False,2025-10-12T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,15,Capitals,Washington,de Washington,WSH,1.0,3,Rangers,New York,de New York,NYR,0.0,REG,3,REG,8479292.0,8478463.0,/video/wsh-at-nyr-condensed-game-6382664393112,,,,,,,,,,,,,WSH
2025020039,20252026,2,2025-10-13,False,2025-10-13T16:30:00Z,-04:00,-04:00,America/New_York,OFF,OK,21,Avalanche,Colorado,du Colorado,COL,3.0,7,Sabres,Buffalo,de Buffalo,BUF,1.0,REG,3,REG,8475809.0,8480069.0,/video/col-at-buf-condensed-game-6382698244112,,,,,,,,,,,,,COL
2025020040,20252026,2,2025-10-13,False,2025-10-13T17:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4.0,6,Bruins,Boston,de Boston,BOS,3.0,REG,3,REG,8477992.0,8480995.0,/video/tbl-at-bos-condensed-game-6382699574112,,,,,,,,,,,,,TBL
2025020041,20252026,2,2025-10-13,False,2025-10-13T17:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,18,Predators,Nashville,de Nashville,NSH,4.0,9,Senators,Ottawa,d'Ottawa,OTT,1.0,REG,3,REG,8477424.0,8475158.0,,/fr/video/match-condense-predators-senators-13-10-2025-6382698498112,,,Sénateurs,,,,,,,,,NSH
2025020042,20252026,2,2025-10-13,False,2025-10-13T17:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,5.0,2,Islanders,New York,de New York,NYI,2.0,REG,3,REG,8477480.0,8479378.0,/video/wpg-at-nyi-condensed-game-6382697483112,/fr/video/match-condense-jets-islanders-13-10-2025-6382697856112,,,,,,,,,,,,WPG
2025020043,20252026,2,2025-10-13,False,2025-10-13T18:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,17,Red Wings,Detroit,de Detroit,DET,3.0,10,Maple Leafs,Toronto,de Toronto,TOR,2.0,REG,3,REG,8475660.0,8478891.0,/video/det-at-tor-condensed-game-6382701076112,/fr/video/match-condense-red-wings-maple-leafs-13-10-2025-6382699030112,,,,,,,,,,,,DET
