tricode_home,tricode_away,geometry_home,geometry_away,geo_distance_haversine,geo_distance_ellipsoidal
ANA,WSH,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-77.0209613,38.8980959]}",3671395.996900913,3679452.009824798
BOS,ANA,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}",4151567.102669938,4160593.8632356026
BOS,BUF,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}",641642.719296324,643331.4769995307
BOS,CAR,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}",983818.0959949577,984040.9707641209
BOS,CBJ,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-83.0061557,39.9692284]}",1033673.31769584,1036073.4106758613
BOS,CGY,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-114.05141,51.03805]}",3363853.5923176217,3372707.5769498795
BOS,CHI,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-87.674370,41.880692]}",1368909.7459125973,1372503.6420717614
BOS,COL,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-105.0077857,39.74864]}",2842030.652980239,2849215.3312184047
BOS,DAL,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-96.8102,32.7903]}",2493227.2957902104,2497209.7560888124
BOS,DET,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-83.055534,42.341045]}",984679.6693715076,987283.7424930321
BOS,EDM,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-113.498871,53.546932]}",3335974.031783607,3344452.7249380783
BOS,FLA,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-80.325448,26.158384]}",1990115.8703977624,1987008.715446767
BOS,LAK,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-118.2671898,34.0430921]}",4171650.404054342,4180809.387666158
BOS,MIN,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-93.1010033,44.9448248]}",1790288.379530745,1794997.0097705282
BOS,MTL,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-73.569916,45.496082]}",401731.6963331177,401778.67526451655
BOS,NJD,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-74.171085,40.733559]}",315990.66556101845,316418.7106088204
BOS,NSH,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-86.779060,36.159229]}",1515643.006648446,1518111.6748645045
BOS,NYI,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-73.7258661,40.7117152]}",288039.92590991664,288345.2550888192
BOS,NYR,"{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}","{""type"":""Point"",""coordinates"":[-73.9935459,40.7505474]}",302870.56940855185,303256.24303453864
