team_tri_for,fenwick_lvl,corsi_lvl,rpe,rwin,rgame,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,idx_WinStreak,idx_WinStreak_expected,idx_HotStreak,yr_season
BUF,-95.0,48.0,0.2566511876590394,23,82,0.2804878048780488,0.4750542299349241,0.09276018099547512,0.0,20.556719769498102,0.2804878048780488,0.501150747986191,0.2804878048780488,0.3908192764321199,28,0.0,0.0,0.0,0.0,4,0,1,2014
EDM,66.0,68.0,0.3286362150335728,24,82,0.2926829268292683,0.5184381778741866,0.45701357466063347,0.19865170788070444,25.33573994257836,0.2926829268292683,0.5073696145124716,0.2926829268292683,0.40002627067087,28,0.0,0.05182767484273125,0.034529914529914406,0.034482758620689655,3,0,2,2014
ARI,96.0,86.0,0.2808988764044944,24,82,0.2926829268292683,0.5574837310195228,0.5248868778280543,0.06691453705202671,22.16650166292135,0.2926829268292683,0.5118483412322274,0.2926829268292683,0.4022656340307479,28,0.0,0.06443341707096076,0.034529914529914406,0.06896551724137931,2,0,2,2014
TOR,-89.0,-47.0,0.39341669244024213,30,82,0.36585365853658536,0.26898047722342733,0.10633484162895927,0.37742155688287204,29.636456628250787,0.36585365853658536,0.5085344320188346,0.36585365853658536,0.43719404527771,25,0.1111111111111111,0.26105115071325985,0.2417094017094016,0.10344827586206896,6,0,3,2014
CAR,49.0,34.0,0.40897940291599166,30,82,0.36585365853658536,0.44468546637744033,0.41855203619909503,0.42036880755453454,30.669650752418423,0.36585365853658536,0.5034562211981567,0.36585365853658536,0.434654939867371,27,0.037037037037037035,0.246758111510019,0.2417094017094016,0.13793103448275862,4,0,1,2014
NJD,-38.0,-12.0,0.4125187302466726,32,82,0.3902439024390244,0.34490238611713664,0.22171945701357465,0.4301360250528412,30.90462345895715,0.3902439024390244,0.5025210084033613,0.3902439024390244,0.4463824554211928,26,0.07407407407407407,0.3127742126473933,0.31076923076923074,0.1724137931034483,5,3,1,2014
PHI,-27.0,-28.0,0.4577593804775156,33,82,0.4024390243902439,0.31019522776572667,0.24660633484162897,0.5549832712340654,33.908108877828504,0.4024390243902439,0.5049562682215744,0.4024390243902439,0.45369764630590914,24,0.14814814814814814,0.35395261732043215,0.3452991452991453,0.20689655172413793,5,1,0,2014
FLA,27.0,2.0,0.4604350892421201,38,82,0.4634146341463415,0.3752711496746204,0.36877828054298645,0.5623672250264912,34.085746737112785,0.4634146341463415,0.5003003003003003,0.4634146341463415,0.48185746722332085,23,0.18518518518518517,0.5124688501203438,0.517948717948718,0.2413793103448276,2,0,0,2014
COL,-36.0,-11.0,0.4820685496029752,39,82,0.47560975609756095,0.3470715835140998,0.22624434389140272,0.6220674711025764,35.52197239748719,0.47560975609756095,0.49615156897572527,0.47560975609756095,0.4858806625366431,20,0.2962962962962963,0.5351160738635805,0.5524786324786324,0.27586206896551724,5,1,3,2014
LAK,-69.0,-67.0,0.535250207354161,40,82,0.4878048780487805,0.22559652928416485,0.1515837104072398,0.7688289231088817,39.052654047553226,0.4878048780487805,0.5155709342560554,0.4878048780487805,0.501687906152418,21,0.25925925925925924,0.6240976308227646,0.587008547008547,0.3103448275862069,12,3,9,2014
