team_tri_for,fenwick_lvl,corsi_lvl,rpe,rwin,rgame,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,idx_WinStreak,idx_WinStreak_expected,idx_HotStreak,yr_season
OTT,10.0,36.0,0.3910314619945516,29,82,0.35365853658536583,0.4849137931034483,0.46329113924050636,0.07010160981034606,29.478103359062015,0.35365853658536583,0.5067643742953777,0.35365853658536583,0.43021145544037176,31,0.0,0.0,0.0,0.0,2,0,0,2018
LAK,-71.0,-123.0,0.37103652714757257,31,82,0.3780487804878049,0.14224137931034483,0.2582278481012658,0.0,28.15065790994153,0.3780487804878049,0.5145089285714286,0.3780487804878049,0.4462788545296167,30,0.03333333333333333,0.08767764106454909,0.06640926640926648,0.03333333333333333,4,0,2,2018
NJD,17.0,149.0,0.3945592391260838,31,82,0.3780487804878049,0.728448275862069,0.4810126582278481,0.08246988496928709,29.712309258436143,0.3780487804878049,0.4977900552486188,0.3780487804878049,0.43791941786821187,26,0.16666666666666666,0.04206131679019338,0.06640926640926648,0.06666666666666667,3,0,3,2018
NYR,-118.0,-111.0,0.4105471146415112,32,82,0.3902439024390244,0.16810344827586207,0.13924050632911392,0.13852287137090136,30.773729700987147,0.3902439024390244,0.5066298342541437,0.3902439024390244,0.448436868346584,26,0.16666666666666666,0.09945363292268695,0.09961389961389971,0.1,4,0,2,2018
DET,-110.0,-123.0,0.4017605139640412,32,82,0.3902439024390244,0.14224137931034483,0.15949367088607594,0.10771732701853315,30.190395312962934,0.3902439024390244,0.5053161723559038,0.3902439024390244,0.4477800373974641,26,0.16666666666666666,0.09586939456045106,0.09961389961389971,0.13333333333333333,8,0,3,2018
BUF,112.0,173.0,0.4101929856967322,33,82,0.4024390243902439,0.7801724137931034,0.7215189873417721,0.13728130647962086,30.750219404017123,0.4024390243902439,0.5044593088071349,0.4024390243902439,0.4534491665986894,26,0.16666666666666666,0.12680507198358185,0.13281853281853295,0.16666666666666666,9,0,4,2018
EDM,-59.0,-35.0,0.41756400310318076,35,82,0.4268292682926829,0.33189655172413796,0.28860759493670884,0.1631238606107836,31.239574512521337,0.4268292682926829,0.49100817438692096,0.4268292682926829,0.45891872133980194,25,0.2,0.156651698354814,0.19922779922779926,0.2,7,1,6,2018
ANA,-53.0,-96.0,0.38596713514356445,35,82,0.4268292682926829,0.20043103448275862,0.3037974683544304,0.05234623988406712,29.141887328219724,0.4268292682926829,0.5022962112514351,0.4268292682926829,0.464562739772059,24,0.23333333333333334,0.1874503496808007,0.19922779922779926,0.23333333333333334,7,1,6,2018
VAN,37.0,8.0,0.4396783074664976,35,82,0.4268292682926829,0.4245689655172414,0.5316455696202531,0.24065591298147163,32.70772296672775,0.4268292682926829,0.49632144878324846,0.4268292682926829,0.46157535853796566,23,0.26666666666666666,0.17114861110376312,0.19922779922779926,0.26666666666666666,5,0,2,2018
FLA,8.0,4.0,0.4762474196500745,36,82,0.43902439024390244,0.41594827586206895,0.4582278481012658,0.36886606485356943,35.13551290042689,0.43902439024390244,0.500544069640914,0.43902439024390244,0.4697842299424082,20,0.36666666666666664,0.21594332097223987,0.2324324324324325,0.3,8,2,5,2018
CHI,13.0,10.0,0.46091398801244277,36,82,0.43902439024390244,0.42887931034482757,0.4708860759493671,0.3151075380095933,34.117540388761036,0.43902439024390244,0.49666666666666665,0.43902439024390244,0.46784552845528454,20,0.36666666666666664,0.2053640870728892,0.2324324324324325,0.3333333333333333,9,3,2,2018
PHI,-48.0,-37.0,0.42987212719409085,37,82,0.45121951219512196,0.3275862068965517,0.31645569620253167,0.20627575478405524,32.056699621291436,0.45121951219512196,0.5044510385756676,0.45121951219512196,0.4778352753853948,20,0.36666666666666664,0.25987679574458544,0.26563706563706574,0.36666666666666664,8,3,6,2018
MIN,46.0,65.0,0.4421591021948555,37,82,0.45121951219512196,0.5474137931034483,0.5544303797468354,0.24935350091550698,32.872420661297056,0.45121951219512196,0.5102150537634409,0.45121951219512196,0.4807172829792814,19,0.4,0.275603524505013,0.26563706563706574,0.4,9,2,6,2018
ARI,-63.0,-25.0,0.4770762792067131,39,82,0.47560975609756095,0.35344827586206895,0.27848101265822783,0.37177202027036504,35.19054012881448,0.47560975609756095,0.49972020145495244,0.47560975609756095,0.4876649787762567,17,0.4666666666666667,0.3135161682956704,0.33204633204633205,0.43333333333333335,10,6,6,2018
PIT,-156.0,-143.0,0.5448532191004157,44,86,0.5116279069767442,0.09913793103448276,0.043037974683544304,0.6093958300466435,39.690189220234345,0.5116279069767442,0.5087323943661972,0.5116279069767442,0.5101801506714707,16,0.5,0.43637844046370233,0.43011583011583027,0.4666666666666667,11,5,6,2018
MTL,207.0,201.0,0.5267848798185171,44,82,0.5365853658536586,0.8405172413793104,0.9620253164556962,0.5460488034144473,38.4906486897712,0.5365853658536586,0.4991744634012108,0.5365853658536586,0.5178799146274347,12,0.6333333333333333,0.4783950192928577,0.49806949806949824,0.5,7,6,4,2018
