team_tri_for,fenwick_lvl,corsi_lvl,rpe,rwin,rgame,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,idx_WinStreak,idx_WinStreak_expected,idx_HotStreak,yr_season
BUF,-46.0,-35.0,0.3247335663739449,15,56,0.26785714285714285,0.4745222929936306,0.34767025089605735,0.0,25.076646665086535,0.26785714285714285,0.5572289156626506,0.26785714285714285,0.4125430292598967,29,0.0,0.0,0.0,0.0,0,0,0,2020
ANA,-7.0,-36.0,0.3313229125362606,17,56,0.30357142857142855,0.4713375796178344,0.4874551971326165,0.01837864509469108,25.514107334140288,0.30357142857142855,0.546583850931677,0.30357142857142855,0.4250776397515528,29,0.0,0.07524082528487334,0.08627450980392154,0.03333333333333333,0,0,0,2020
CBJ,-26.0,19.0,0.34926867393650673,18,56,0.32142857142857145,0.6464968152866242,0.41935483870967744,0.06843198447081224,26.705510031076706,0.32142857142857145,0.5292397660818714,0.32142857142857145,0.4253341687552214,29,0.0,0.07678067799576356,0.12941176470588245,0.06666666666666667,0,0,0,2020
NJD,-97.0,-100.0,0.35841530147798367,19,56,0.3392857142857143,0.267515923566879,0.16487455197132617,0.093943259376888,27.312746273537783,0.3392857142857143,0.5285285285285285,0.3392857142857143,0.4339071214071214,23,0.21428571428571427,0.12824107503693846,0.17254901960784322,0.1,2,0,0,2020
DET,-3.0,2.0,0.35549922856513116,19,56,0.3392857142857143,0.5923566878980892,0.5017921146953405,0.08580990777941724,27.119150858144152,0.3392857142857143,0.5274390243902439,0.3392857142857143,0.4333623693379791,23,0.21428571428571427,0.12497112139257176,0.17254901960784322,0.13333333333333333,1,0,0,2020
SJS,-41.0,10.0,0.3653889298419922,21,56,0.375,0.6178343949044586,0.3655913978494624,0.11339372343921961,27.775719086727992,0.375,0.5384615384615384,0.375,0.4567307692307692,23,0.21428571428571427,0.2652433456225061,0.25882352941176473,0.16666666666666666,3,2,0,2020
LAK,49.0,56.0,0.4143751646436605,21,56,0.375,0.7643312101910829,0.6881720430107527,0.25002345904088824,31.027870441792135,0.375,0.5203488372093024,0.375,0.4476744186046512,19,0.35714285714285715,0.21088128182866972,0.25882352941176473,0.2,4,0,0,2020
DAL,-7.0,5.0,0.5128184059161873,23,56,0.4107142857142857,0.6019108280254777,0.4874551971326165,0.5245959809195969,37.563427252752675,0.4107142857142857,0.518005540166205,0.4107142857142857,0.46435991294024537,19,0.35714285714285715,0.3110383920102654,0.34509803921568627,0.23333333333333334,4,3,0,2020
VAN,13.0,14.0,0.392140338808152,23,56,0.4107142857142857,0.6305732484076433,0.5591397849462365,0.18800729496225585,29.551720677203544,0.4107142857142857,0.5217391304347826,0.4107142857142857,0.46622670807453415,23,0.21428571428571427,0.32224410172379603,0.34509803921568627,0.26666666666666666,5,4,0,2020
OTT,34.0,34.0,0.4057515350046914,23,56,0.4107142857142857,0.6942675159235668,0.6344086021505376,0.22597090137301598,30.455355552058467,0.4107142857142857,0.5202702702702703,0.4107142857142857,0.465492277992278,23,0.21428571428571427,0.3178355781769515,0.34509803921568627,0.3,3,0,0,2020
